Name,SKU,Description,Brand
"Road-750 Black, 58",BK-R19B-58,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,ACME Corporation
LL Road Seat/Saddle,SE-R581,Lightweight foam-padded saddle.,Hill's Bicycle Service
Rear Brakes,RB-9231,,Superior Bicycles
External Lock Washer 9,LE-1201,,Expert Bike Co
Hex Nut 2,HN-5400,,Norstan Bike Hut
Thin-Jam Hex Nut 8,HJ-7162,,Advanced Bicycles
Hex Nut 3,HN-6320,,Norstan Bike Hut
Thin-Jam Lock Nut 12,LJ-9080,,Leaf River Terrain
Lock Nut 17,LN-1220,,Bergeron Off-Roads
HL Nipple,NI-9522,,Consumer Cycles
Lock Nut 20,LN-5811,,Mountain Works
"Mountain-100 Silver, 38",BK-M82S-38,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",ACME Corporation
"Mountain-100 Silver, 44",BK-M82S-44,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",ACME Corporation
"HL Road Frame - Red, 58",FR-R92R-58,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
"Men's Sports Shorts, M",SH-M897-M,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Fitness Association
ML Mountain Tire,TI-M602,"Great traction, high-density rubber.",Sport Fan Co.
"Mountain-200 Silver, 42",BK-M68S-42,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,ACME Corporation
"Road-550-W Yellow, 42",BK-R64Y-42,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",ACME Corporation
Lock Nut 11,LN-5162,,Bergeron Off-Roads
"Long-Sleeve Logo Jersey, M",LJ-0192-M,Unisex long-sleeve AWC logo microfiber cycling jersey,Integrated Sport Products
Thin-Jam Lock Nut 2,LJ-1428,,Australia Bike Retailer
Chainring,CR-7833,,Training Systems
Thin-Jam Hex Nut 14,HJ-5818,,Advanced Bicycles
Thin-Jam Lock Nut 16,LJ-3416,,Leaf River Terrain
Lock Nut 10,LN-5161,,Mountain Works
Lock Nut 4,LN-8320,,Bergeron Off-Roads
ML Road Tire,TI-R628,Higher density rubber.,Signature Cycles
HL Touring Handlebars,HB-T928,A light yet stiff aluminum bar for long distance riding.,ACME Corporation
"ML Road Frame - Red, 52",FR-R72R-52,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",ACME Corporation
"LL Touring Frame - Blue, 62",FR-T67U-62,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,ACME Corporation
"Touring-1000 Blue, 50",BK-T79U-50,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,ACME Corporation
"Touring-1000 Yellow, 60",BK-T79Y-60,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,ACME Corporation
Lock Nut 7,LN-1224,,Bergeron Off-Roads
Lock Nut 3,LN-6320,,Bergeron Off-Roads
Steerer,SR-2098,,ACME Corporation
Hex Nut 6,HN-1032,,Norstan Bike Hut
Flat Washer 1,FW-1000,,Continental Pro Cycles
LL Road Rim,RM-R436,,Electronic Bike Repair & Supplies
"Racing Socks, M",SO-R809-M,"Thin, lightweight and durable with cuffs that stay up.",Jeff's Sporting Goods
Lock Nut 12,LN-3816,,Bergeron Off-Roads
External Lock Washer 5,LE-1400,,Pro Sport Industries
"Mountain-500 Silver, 42",BK-M18S-42,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",ACME Corporation
"HL Road Frame - Red, 62",FR-R92R-62,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
Road Tire Tube,TT-R982,Conventional all-purpose tube.,Victory Bikes
Road Bottle Cage,BC-R205,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,Green Lake Bike Company
"HL Mountain Frame - Silver, 44",FR-M94S-44,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,ACME Corporation
Thin-Jam Lock Nut 13,LJ-5811,,Australia Bike Retailer
Thin-Jam Hex Nut 15,HJ-3410,,WestAmerica Bicycle Co.
Flat Washer 9,FW-3400,,"Reliance Fitness, Inc."
Chainring Bolts,CB-2903,,Bike Satellite Inc.
Thin-Jam Lock Nut 11,LJ-9161,,Ready Rentals
ML Road Rim,RM-R600,,Electronic Bike Repair & Supplies
Lock Nut 4,LN-8320,,Mountain Works
"LL Mountain Frame - Silver, 48",FR-M21S-48,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",ACME Corporation
"Road-650 Red, 60",BK-R50R-60,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",ACME Corporation
"Road-650 Black, 62",BK-R50B-62,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",ACME Corporation
"HL Touring Frame - Blue, 54",FR-T98U-54,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,ACME Corporation
Metal Plate 3,MP-4960,,"Custom Frames, Inc."
Touring Rim,RM-T801,,"Premier Sport, Inc."
Thin-Jam Lock Nut 12,LJ-9080,,Australia Bike Retailer
Thin-Jam Lock Nut 8,LJ-7162,,Australia Bike Retailer
Internal Lock Washer 5,LI-1400,,Aurora Bike Center
Hex Nut 9,HN-1428,,Cruger Bike Company
Hex Nut 9,HN-1428,,Norstan Bike Hut
External Lock Washer 6,LE-5160,,Expert Bike Co
Hex Nut 20,HN-5811,,Cruger Bike Company
Thin-Jam Lock Nut 1,LJ-1420,,Leaf River Terrain
Paint - Blue,PA-632U,,Trey Research
"Classic Vest, L",VE-C304-L,"Light-weight, wind-resistant, packs to fit into a pocket.",Team Athletic Co.
Touring Tire Tube,TT-T092,General purpose tube.,Victory Bikes
Touring Tire,TI-T723,High-density rubber.,Professional Athletic Consultants
ML Road Pedal,PD-R563,Lightweight aluminum alloy construction.,Jackson Authority
"Road-150 Red, 62",BK-R93R-62,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",ACME Corporation
Lock Washer 13,LW-3400,,Inner City Bikes
Lock Nut 16,LN-1213,,Mountain Works
External Lock Washer 3,LE-1000,,Expert Bike Co
Hex Nut 17,HN-1220,,Norstan Bike Hut
Flat Washer 9,FW-3400,,Speed Corporation
Flat Washer 2,FW-1400,,"Reliance Fitness, Inc."
Seat Lug,SL-0931,,Metro Sport Equipment
ML Mountain Seat Assembly,SA-M237,,ACME Corporation
"Road-250 Black, 58",BK-R89B-58,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",ACME Corporation
"Road-350-W Yellow, 48",BK-R79Y-48,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",ACME Corporation
LL Road Seat/Saddle,SE-R581,Lightweight foam-padded saddle.,Chicago City Saddles
HL Road Seat/Saddle,SE-R995,Lightweight kevlar racing saddle. Leather.,First Rate Bicycles
"HL Road Frame - Red, 48",FR-R92R-48,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
Handlebar Tube,HT-2981,,ACME Corporation
Front Derailleur Cage,FC-3982,,"Compete, Inc."
Thin-Jam Hex Nut 2,HJ-1428,,WestAmerica Bicycle Co.
Flat Washer 7,FW-9160,,Continental Pro Cycles
Keyed Washer,KW-4091,,Wide World Importers
External Lock Washer 3,LE-1000,,Pro Sport Industries
Lock Nut 8,LN-1420,,Mountain Works
Lock Nut 9,LN-1428,,Mountain Works
Rear Derailleur,RD-2308,Wide-link design.,ACME Corporation
Lock Nut 21,LN-5818,,Mountain Works
"LL Road Frame - Red, 52",FR-R38R-52,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",ACME Corporation
ML Road Seat/Saddle,SE-R908,Rubber bumpers absorb bumps.,Hill's Bicycle Service
"ML Mountain Frame - Black, 44",FR-M63B-44,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,ACME Corporation
"LL Mountain Frame - Black, 44",FR-M21B-44,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",ACME Corporation
"Mountain-500 Black, 44",BK-M18B-44,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",ACME Corporation
HL Mountain Front Wheel,FW-M@28,High-performance mountain replacement wheel.,ACME Corporation
"LL Touring Frame - Yellow, 50",FR-T67Y-50,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,ACME Corporation
Paint - Yellow,PA-823Y,,Trey Research
Thin-Jam Lock Nut 1,LJ-1420,,Ready Rentals
External Lock Washer 1,LE-6000,,Pro Sport Industries
Chainring Nut,CN-6137,,Beaumont Bikes
Hex Nut 7,HN-1224,,Mountain Works
Hex Nut 17,HN-1220,,Cruger Bike Company
Decal 2,DC-9824,,SUPERSALES INC.
Internal Lock Washer 5,LI-1400,,Pro Sport Industries
Hex Nut 23,HN-3416,,Cruger Bike Company
Lock Washer 11,LW-9160,,Inner City Bikes
Metal Bar 2,MB-6061,,"Custom Frames, Inc."
LL Headset,HS-0296,Threadless headset provides quality at an economical price.,ACME Corporation
LL Bottom Bracket,BB-7421,Chromoly steel.,ACME Corporation
"Road-450 Red, 60",BK-R68R-60,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",ACME Corporation
"Road-450 Red, 48",BK-R68R-48,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",ACME Corporation
"Touring-2000 Blue, 60",BK-T44U-60,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",ACME Corporation
"ML Road Frame-W - Yellow, 42",FR-R72Y-42,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",ACME Corporation
"Mountain-100 Black, 42",BK-M82B-42,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",ACME Corporation
LL Mountain Tire,TI-M267,"Comparible traction, less expensive wire bead casing.",Vista Road Bikes
LL Spindle/Axle,SD-2342,,Lakewood Bicycle
Thin-Jam Lock Nut 7,LJ-7161,,Ready Rentals
Lock Nut 23,LN-3416,,Mountain Works
LL Mountain Pedal,PD-M282,Expanded platform so you can ride in any shoes; great for all-around riding.,Crowley Sport
LL Road Pedal,PD-R347,Clipless pedals - aluminum.,Mitchell Sports
Fender Set - Mountain,FE-6654,Clip-on fenders fit most mountain bikes.,Green Lake Bike Company
"HL Touring Frame - Blue, 50",FR-T98U-50,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,ACME Corporation
"HL Road Frame - Black, 48",FR-R92B-48,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
HL Mountain Handlebars,HB-M918,Flat bar strong enough for the pro circuit.,ACME Corporation
HL Touring Seat/Saddle,SE-T#24,Cut-out shell for a more comfortable ride.,Chicago City Saddles
"Road-150 Red, 52",BK-R93R-52,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",ACME Corporation
Lock Nut 22,LN-3410,,Bergeron Off-Roads
External Lock Washer 9,LE-1201,,Aurora Bike Center
Hex Nut 5,HN-1024,,Mountain Works
Hex Nut 7,HN-1224,,Cruger Bike Company
Flat Washer 4,FW-3800,,Continental Pro Cycles
Flat Washer 1,FW-1000,,Speed Corporation
Head Tube,HT-8019,,ACME Corporation
Hex Nut 12,HN-3816,,Cruger Bike Company
Lock Nut 23,LN-3416,,Bergeron Off-Roads
Top Tube,TO-2301,,ACME Corporation
LL Touring Seat/Saddle,SE-T312,"Comfortable, ergonomically shaped gel saddle.",Chicago City Saddles
HL Road Seat/Saddle,SE-R995,Lightweight kevlar racing saddle. Leather.,Chicago City Saddles
"LL Touring Frame - Blue, 54",FR-T67U-54,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,ACME Corporation
"ML Mountain Frame - Black, 40",FR-M63B-40,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,ACME Corporation
"Road-550-W Yellow, 48",BK-R64Y-48,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",ACME Corporation
"Women's Tights, M",TG-W091-M,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Fitness Association
Lock Nut 2,LN-5400,,Mountain Works
Thin-Jam Lock Nut 13,LJ-5811,,Leaf River Terrain
External Lock Washer 7,LE-3800,,Expert Bike Co
HL Hub,HU-8998,,ACME Corporation
Flat Washer 3,FW-5160,,"Reliance Fitness, Inc."
Hex Nut 7,HN-1224,,Norstan Bike Hut
Hex Nut 3,HN-6320,,Cruger Bike Company
LL Road Rim,RM-R436,,International Bicycles
"Mountain-200 Black, 38",BK-M68B-38,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,ACME Corporation
"HL Mountain Frame - Black, 42",FR-M94B-42,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,ACME Corporation
"LL Mountain Frame - Silver, 40",FR-M21S-40,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",ACME Corporation
ML Mountain Seat/Saddle,SE-M798,Designed to absorb shock.,First Rate Bicycles
Touring Front Wheel,FW-T905,Aerodynamic rims for smooth riding.,ACME Corporation
"LL Road Frame - Black, 62",FR-R38B-62,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",ACME Corporation
"HL Road Frame - Red, 52",FR-R92R-52,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,ACME Corporation
"Mountain-500 Black, 40",BK-M18B-40,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",ACME Corporation
"Road-250 Black, 44",BK-R89B-44,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",ACME Corporation
HL Touring Seat Assembly,SA-T872,,ACME Corporation
Rear Derailleur Cage,RC-0291,,"Compete, Inc."
Flat Washer 8,FW-5800,,Speed Corporation
Freewheel,FH-2981,,Sport Playground
Pinch Bolt,PB-6109,,Burnett Road Warriors
"Road-550-W Yellow, 40",BK-R64Y-40,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",ACME Corporation
"ML Mountain Frame-W - Silver, 42",FR-M63S-42,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,ACME Corporation
"Road-150 Red, 48",BK-R93R-48,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",ACME Corporation
"HL Touring Frame - Blue, 46",FR-T98U-46,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,ACME Corporation
Minipump,PU-0452,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,International Trek Center
"Men's Sports Shorts, XL",SH-M897-X,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Fitness Association
Touring Tire,TI-T723,High-density rubber.,Victory Bikes
External Lock Washer 5,LE-1400,,Aurora Bike Center
Flat Washer 1,FW-1000,,"Reliance Fitness, Inc."
Thin-Jam Hex Nut 6,HJ-3824,,Advanced Bicycles
Internal Lock Washer 7,LI-3800,,Aurora Bike Center
Thin-Jam Lock Nut 15,LJ-3410,,Australia Bike Retailer
LL Mountain Seat Assembly,SA-M198,,ACME Corporation
ML Road Tire,TI-R628,Higher density rubber.,Professional Athletic Consultants
LL Road Front Wheel,FW-R623,Replacement road front wheel for entry-level cyclist.,ACME Corporation
ML Road Rear Wheel,RW-R762,Aluminum alloy rim with stainless steel spokes; built for speed.,ACME Corporation
"ML Road Frame - Red, 60",FR-R72R-60,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",ACME Corporation
HL Mountain Seat/Saddle,SE-M940,Anatomic design for a full-day of riding in comfort. Durable leather.,Hybrid Bicycle Center
ML Bottom Bracket,BB-8107,Aluminum alloy cups; large diameter spindle.,ACME Corporation
Lock Nut 5,LN-1024,,Bergeron Off-Roads
External Lock Washer 5,LE-1400,,Expert Bike Co
Internal Lock Washer 6,LI-5160,,Pro Sport Industries
Hex Nut 11,HN-5162,,Norstan Bike Hut
BB Ball Bearing,BE-2349,,ACME Corporation
Metal Sheet 4,MS-2259,,"Custom Frames, Inc."
Thin-Jam Hex Nut 4,HJ-5162,,Advanced Bicycles
Road End Caps,EC-R098,,ACME Corporation
Thin-Jam Hex Nut 5,HJ-3816,,WestAmerica Bicycle Co.
Lock Washer 7,LW-5160,,Inner City Bikes
Lock Nut 5,LN-1024,,Mountain Works
"Road-650 Red, 44",BK-R50R-44,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",ACME Corporation
"Touring-2000 Blue, 50",BK-T44U-50,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",ACME Corporation
"Women's Mountain Shorts, M",SH-W890-M,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Team Athletic Co.
"Men's Bib-Shorts, S",SB-M891-S,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Fitness Association
"LL Mountain Frame - Black, 52",FR-M21B-52,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",ACME Corporation
Internal Lock Washer 4,LI-1200,,Aurora Bike Center
Lock Nut 19,LN-9080,,Mountain Works
"Sport-100 Helmet, Black",HL-U509,"Universal fit, well-vented, lightweight , snap-on visor.",G & K Bicycle Corp.
HL Mountain Seat Assembly,SA-M687,,ACME Corporation
Lock Nut 1,LN-4400,,Mountain Works
Paint - Red,PA-361R,,Carlson Specialties
Thin-Jam Lock Nut 13,LJ-5811,,Ready Rentals
Lock Nut 20,LN-5811,,Bergeron Off-Roads
Internal Lock Washer 1,LI-6000,,Pro Sport Industries
"LL Mountain Frame - Silver, 42",FR-M21S-42,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",ACME Corporation
"Road-550-W Yellow, 38",BK-R64Y-38,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",ACME Corporation
"LL Road Frame - Black, 48",FR-R38B-48,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",ACME Corporation
"HL Touring Frame - Yellow, 46",FR-T98Y-46,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,ACME Corporation
Hex Nut 10,HN-5161,,Cruger Bike Company
Hex Nut 8,HN-1420,,Mountain Works
ML Crankarm,CA-6738,,"Vision Cycles, Inc."
ML Grip Tape,GT-1209,,Gardner Touring Cycles
Chainring Nut,CN-6137,,Bike Satellite Inc.
"HL Touring Frame - Yellow, 54",FR-T98Y-54,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,ACME Corporation
"Full-Finger Gloves, S",GL-F110-S,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Team Athletic Co.
"HL Mountain Frame - Black, 38",FR-M94B-38,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,ACME Corporation
Metal Sheet 1,MS-6061,,"Custom Frames, Inc."
HL Spindle/Axle,SD-9872,,Hill Bicycle Center
Thin-Jam Lock Nut 3,LJ-5161,,Australia Bike Retailer
Lock Nut 6,LN-1032,,Bergeron Off-Roads
Lock Nut 16,LN-1213,,Bergeron Off-Roads
Internal Lock Washer 4,LI-1200,,Pro Sport Industries
Hex Nut 22,HN-3410,,Cruger Bike Company
"HL Mountain Frame - Silver, 48",FR-M94S-52,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,ACME Corporation
ML Fork,FK-5136,Composite road fork with an aluminum steerer tube.,ACME Corporation
"Road-550-W Yellow, 44",BK-R64Y-44,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",ACME Corporation
